smiles,property_value_median
*CC(CC(C)C)*,0.0012
*CC(c1ccccc1C)*,0.0691
*CC(c1ccccc1Cl)*,0.09
*CC(N1CCCC1=O)*,0.0332
OCCOC(=O)C(C*)(C)*,0.053
CCCCCCCCCCCCNC(=O)C(C*)*,0.00462
CCCCCCCCCCCCCCCCCCNC(=O)C(C*)*,0.00103
CCCCCCCCC=CCCCCCCCCNC(=O)C(C*)*,0.00379
*CC(F)*,0.04
*CCO*,0.0065975
*OC(C(C)*)C,0.014
*OC(C(C)*)(C)C,0.008963
*Oc1c(C)cc(cc1C)*,0.072
*C(=O)OCCOC(=O)c1ccc(o1)*,0.041
*O[Si](O[Si](O[Si](O[Si](O[Si](c1ccc(cc1)Oc1ccc(cc1)[Si](C)(C)*)(C)C)(C)C)(C)C)(C)C)(C)C,0.0672
*CCOC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)O*)(CC)C,0.068947
*CC(COc1ccc(cc1)C(c1ccc(cc1)O*)(C)C)O,0.0645
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)*,0.048
*CCOCC(=O)O*,0.0283
*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2ccccc2cc1Oc1ccc2c(c1)C(=O)N(C2=O)*,0.1096
*c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2ccccc2cc1Oc1ccc2c(c1)C(=O)N(C2=O)*,0.1174
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2ccccc2cc1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)*,0.1206
*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)*,0.064
*Oc1ccc(cc1c1ccccc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)*,0.085
